BLACK,,
H,S,L
340,60,75
340,60,85
340,80,65
340,80,75
340,80,85
345,20,55
345,20,65
345,40,45
345,40,55
345,40,65
345,40,75
345,40,85
345,40,95
345,60,45
345,60,55
345,60,65
345,60,75
345,60,85
345,80,65
345,80,75
345,80,85
350,20,55
350,20,65
350,40,45
350,40,55
350,40,65
350,40,75
350,40,85
350,40,95
350,60,55
350,60,65
350,60,75
350,60,85
350,80,65
350,80,75
350,80,85
355,20,55
355,20,65
355,40,45
355,40,55
355,40,65
355,40,75
355,40,85
355,40,95
355,60,55
355,60,65
355,60,75
355,60,85
355,80,65
355,80,75
355,80,85
360,40,45
360,40,55
360,40,65
360,40,75
360,40,85
360,40,95
360,60,65
360,60,75
360,60,85
360,80,65
360,80,75
360,80,85
BUBGUM + FLAMINGO,,
H,S,L
295,100,75
295,100,85
300,100,75
300,100,85
305,100,75
305,100,85
310,80,65
310,80,75
310,100,65
310,100,75
310,100,85
315,80,65
315,80,75
315,100,65
315,100,75
315,100,85
320,80,65
320,80,75
320,80,85
320,100,65
320,100,75
320,100,85
325,80,55
325,80,65
325,80,75
325,80,85
325,100,55
325,100,65
325,100,75
325,100,85
330,80,55
330,80,65
330,80,75
330,80,85
330,100,55
330,100,65
330,100,75
330,100,85
335,80,55
335,80,65
335,80,75
335,80,85
335,100,55
335,100,65
335,100,75
335,100,85
340,80,65
340,80,75
340,80,85
340,100,55
340,100,65
340,100,75
340,100,85
345,80,65
345,80,75
345,80,85
345,100,65
345,100,75
345,100,85
350,80,65
350,80,75
350,100,65
350,100,75
350,100,85
355,80,65
355,80,75
355,100,75
355,100,85
FUCHSIA + MAGENTA,,
H,S,L
285,80,65
285,100,55
285,100,65
290,100,55
290,100,65
295,60,55
295,80,45
295,80,55
295,80,65
295,100,45
295,100,55
295,100,65
295,100,75
300,60,45
300,60,55
300,80,45
300,80,55
300,80,65
300,100,45
300,100,55
300,100,65
300,100,75
305,60,45
305,60,55
305,80,45
305,80,55
305,80,65
305,100,35
305,100,45
305,100,55
305,100,65
305,100,75
310,60,45
310,60,55
310,80,35
310,80,45
310,80,55
310,80,65
310,100,35
310,100,45
310,100,55
310,100,65
315,60,45
315,60,55
315,80,35
315,80,45
315,80,55
315,80,65
315,100,35
315,100,45
315,100,55
315,100,65
320,60,45
320,60,55
320,80,35
320,80,45
320,80,55
320,80,65
320,100,35
320,100,45
320,100,55
320,100,65
325,60,35
325,60,45
325,60,55
325,80,35
325,80,45
325,80,55
325,80,65
325,100,35
325,100,45
325,100,55
325,100,65
330,60,35
330,60,45
330,60,55
330,80,45
330,80,55
330,80,65
330,100,35
330,100,45
330,100,55
330,100,65
335,60,35
335,60,45
335,60,55
335,80,45
335,80,55
335,80,65
335,100,35
335,100,45
335,100,55
335,100,65
340,80,45
340,80,55
340,80,65
340,100,45
340,100,55
340,100,65
345,80,45
345,80,55
345,80,65
345,100,45
345,100,55
345,100,65
350,80,55
350,100,65
355,100,65
VIOLET + EGGPLANT,,
H,S,L
250,40,45
250,40,55
250,40,65
250,60,35
250,60,45
250,60,55
250,60,65
250,80,65
250,80,75
255,40,35
255,40,45
255,40,55
255,40,65
255,60,35
255,60,45
255,60,55
255,60,65
255,80,35
255,80,45
255,80,55
255,80,65
255,80,75
255,100,35
255,100,45
255,100,55
255,100,65
260,40,35
260,40,45
260,40,55
260,60,35
260,60,45
260,60,55
260,80,35
260,80,45
260,80,55
260,80,65
260,100,35
260,100,45
260,100,55
260,100,65
265,40,25
265,40,35
265,40,45
265,40,55
265,40,65
265,60,25
265,60,35
265,60,45
265,60,55
265,60,65
265,80,25
265,80,35
265,80,45
265,80,55
265,80,65
265,100,25
265,100,35
265,100,45
265,100,55
265,100,65
270,40,25
270,40,35
270,40,45
270,40,55
270,40,65
270,60,25
270,60,35
270,60,45
270,60,55
270,60,65
270,80,25
270,80,35
270,80,45
270,80,55
270,80,65
270,100,25
270,100,35
270,100,45
270,100,55
270,100,65
275,40,25
275,40,35
275,40,45
275,40,55
275,40,65
275,60,25
275,60,35
275,60,45
275,60,55
275,60,65
275,80,25
275,80,35
275,80,45
275,80,55
275,80,65
275,100,25
275,100,35
275,100,45
275,100,55
275,100,65
280,40,25
280,40,35
280,40,45
280,40,55
280,40,65
280,60,25
280,60,35
280,60,45
280,60,55
280,60,65
280,80,25
280,80,35
280,80,45
280,80,55
280,80,65
280,100,25
280,100,35
280,100,45
280,100,55
280,100,65
285,40,25
285,40,35
285,40,45
285,40,55
285,40,65
285,60,25
285,60,35
285,60,45
285,60,55
285,60,65
285,80,25
285,80,35
285,80,45
285,80,55
285,80,65
285,100,25
285,100,35
285,100,45
285,100,55
285,100,65
290,40,25
290,40,35
290,40,45
290,40,55
290,60,25
290,60,35
290,60,45
290,60,55
290,80,25
290,80,35
290,80,45
290,80,55
290,100,25
290,100,35
290,100,45
290,100,55
295,40,25
295,40,35
295,40,45
295,40,55
295,60,25
295,60,35
295,60,45
295,60,55
295,80,25
295,80,35
295,80,45
295,80,55
295,100,25
295,100,35
295,100,45
295,100,55
300,40,25
300,40,35
300,40,45
300,40,55
300,60,25
300,60,35
300,60,45
300,60,55
300,80,25
300,80,35
300,80,45
300,100,25
300,100,35
300,100,45
305,20,35
305,20,45
305,20,65
305,40,25
305,40,35
305,40,45
305,40,55
305,60,25
305,60,35
305,60,45
305,60,55
305,80,25
305,80,35
305,80,45
305,100,25
305,100,35
305,100,45
310,40,25
310,40,35
310,40,45
310,60,25
310,60,35
310,60,45
310,80,25
310,80,35
310,100,25
310,100,35
315,40,25
315,40,35
315,40,45
315,40,55
315,60,25
315,60,35
315,60,45
315,80,25
315,80,35
315,80,45
315,100,25
315,100,35
320,40,25
320,40,35
320,40,45
320,60,25
320,60,35
320,60,45
320,80,25
320,80,35
320,100,25
320,100,35
325,40,25
325,40,35
325,40,45
325,60,25
325,60,35
325,60,45
325,80,25
325,80,35
325,100,25
325,100,35
330,40,25
330,40,35
330,40,45
330,60,25
330,60,35
330,60,45
330,80,25
330,80,35
330,100,25
330,100,35
335,40,25
335,40,35
335,40,45
335,60,25
335,60,35
335,60,45
335,80,25
335,80,35
335,100,25
335,100,35
340,40,25
340,40,35
340,40,45
340,60,25
340,80,25
345,40,25
345,40,35
345,40,45
345,60,25
345,80,25
350,40,25
LAVENDER + LILAC,,
H,S,L
225,80,85
225,80,95
225,100,85
225,100,95
230,60,85
230,60,95
230,80,85
230,80,95
230,100,85
230,100,95
235,40,75
235,40,85
235,40,95
235,60,75
235,60,85
235,60,95
235,80,85
235,80,95
235,100,85
235,100,95
240,40,75
240,40,85
240,40,95
240,60,75
240,60,85
240,60,95
240,80,85
240,80,95
240,100,85
240,100,95
245,40,65
245,40,75
245,40,85
245,40,95
245,60,65
245,60,75
245,60,85
245,60,95
245,80,75
245,80,85
245,80,95
245,100,75
245,100,85
245,100,95
250,40,65
250,40,75
250,40,85
250,40,95
250,60,65
250,60,75
250,60,85
250,60,95
250,80,75
250,80,85
250,80,95
250,100,75
250,100,85
250,100,95
255,40,65
255,40,75
255,40,85
255,40,95
255,60,65
255,60,75
255,60,85
255,60,95
255,80,75
255,80,85
255,80,95
255,100,75
255,100,85
255,100,95
260,40,65
260,40,75
260,40,85
260,40,95
260,60,65
260,60,75
260,60,85
260,60,95
260,80,75
260,80,85
260,80,95
260,100,75
260,100,85
260,100,95
265,40,65
265,40,75
265,40,85
265,40,95
265,60,65
265,60,75
265,60,85
265,60,95
265,80,65
265,80,75
265,80,85
265,80,95
265,100,65
265,100,75
265,100,85
265,100,95
270,40,65
270,40,75
270,40,85
270,40,95
270,60,65
270,60,75
270,60,85
270,60,95
270,80,65
270,80,75
270,80,85
270,80,95
270,100,65
270,100,75
270,100,85
270,100,95
275,40,65
275,40,75
275,40,85
275,40,95
275,60,55
275,60,65
275,60,75
275,60,85
275,60,95
275,80,65
275,80,75
275,80,85
275,80,95
275,100,65
275,100,75
275,100,85
275,100,95
280,40,55
280,40,65
280,40,75
280,40,85
280,40,95
280,60,55
280,60,65
280,60,75
280,60,85
280,60,95
280,80,75
280,80,85
280,80,95
280,100,75
280,100,85
280,100,95
285,40,55
285,40,65
285,40,75
285,40,85
285,40,95
285,60,55
285,60,65
285,60,75
285,60,85
285,60,95
285,80,75
285,80,85
285,80,95
285,100,75
285,100,85
285,100,95
290,40,65
290,40,75
290,40,85
290,40,95
290,60,65
290,60,75
290,60,85
290,60,95
290,80,65
290,80,75
290,80,85
290,80,95
290,100,65
290,100,75
290,100,85
290,100,95
295,40,65
295,40,75
295,40,85
295,40,95
295,60,65
295,60,75
295,60,85
295,60,95
295,80,75
295,80,85
295,80,95
295,100,85
295,100,95
300,40,65
300,40,75
300,40,85
300,40,95
300,60,65
300,60,75
300,60,85
300,60,95
300,80,75
300,80,85
300,80,95
300,100,85
300,100,95
305,20,55
305,20,65
305,40,65
305,40,75
305,40,85
305,40,95
305,60,65
305,60,75
305,60,85
305,60,95
305,80,75
305,80,85
305,80,95
305,100,85
305,100,95
310,40,65
310,40,75
310,40,85
310,40,95
310,60,65
310,60,75
310,60,85
310,60,95
310,80,75
310,80,85
310,80,95
310,100,85
310,100,95
315,40,65
315,40,75
315,40,85
315,40,95
315,60,65
315,60,75
315,60,85
315,60,95
315,80,75
315,80,85
315,80,95
315,100,95
320,40,65
320,40,75
320,40,85
320,40,95
320,60,85
320,60,95
320,80,85
320,80,95
320,100,85
320,100,95
325,40,65
325,40,75
325,40,85
325,40,95
325,60,75
325,60,85
325,60,95
325,80,95
325,100,85
325,100,95
330,40,65
330,40,75
330,40,85
330,40,95
330,60,75
330,60,85
330,60,95
330,80,95
335,40,65
335,40,75
335,40,85
335,40,95
335,60,75
335,60,85
335,60,95
335,80,95
