BLACK,,
H,S,L
115,20,65
115,20,75
115,20,85
120,20,65
120,20,75
120,20,85
125,20,65
125,20,75
125,20,85
130,20,55
130,20,65
130,20,75
130,20,85
135,20,55
135,20,65
135,20,75
135,20,85
140,20,55
140,20,65
140,20,75
140,20,85
145,20,55
145,20,65
145,20,75
145,20,85
150,20,55
150,20,65
150,20,75
150,20,85
155,20,55
155,20,65
155,20,75
155,20,85
160,20,75
160,20,85
255,20,75
255,20,85
260,20,55
260,20,65
260,20,75
260,20,85
265,20,55
265,20,65
265,20,75
265,20,85
270,20,65
270,20,75
270,20,85
275,20,45
275,20,55
275,20,65
275,20,75
275,20,85
280,20,45
280,20,55
280,20,65
280,20,75
280,20,85
285,20,45
285,20,55
285,20,65
285,20,75
285,20,85
290,20,45
290,20,55
290,20,65
290,20,75
290,20,85
295,20,45
295,20,55
295,20,65
295,20,75
295,20,85
300,20,45
300,20,55
300,20,65
300,20,75
300,20,85
305,20,75
305,20,85
310,20,35
310,20,45
310,20,55
310,20,65
310,20,75
310,20,85
315,20,35
315,20,45
315,20,55
315,20,65
315,20,75
315,20,85
320,20,35
320,20,45
320,20,55
320,20,65
320,20,75
320,20,85
325,20,35
325,20,45
325,20,55
325,20,65
325,20,75
325,20,85
330,20,35
330,20,45
330,20,55
330,20,65
330,20,75
330,20,85
335,20,35
335,20,45
335,20,55
335,20,65
335,20,75
335,20,85
340,20,35
340,20,45
340,20,55
340,20,65
340,20,75
340,20,85
345,20,35
345,20,45
345,20,55
345,20,65
345,20,75
345,20,85
350,20,35
350,20,45
350,20,55
350,20,65
350,20,75
350,20,85
355,20,35
355,20,45
355,20,55
355,20,65
355,20,75
355,20,85
360,20,35
360,20,45
360,20,55
360,20,65
360,20,75
360,20,85
360,40,75
360,40,85
360,40,95
BEIGE + TAN + CAMEL,,
H,S,L
5,40,55
5,40,65
5,40,75
5,40,85
5,40,95
10,40,55
10,40,65
10,40,75
10,40,85
10,40,95
20,40,65
20,40,75
20,40,85
20,40,95
20,60,65
20,60,75
20,60,85
20,60,95
20,80,75
20,80,85
20,80,95
20,100,85
20,100,95
25,40,65
25,40,75
25,40,85
25,40,95
25,60,65
25,60,75
25,60,85
25,60,95
25,80,75
25,80,85
25,80,95
25,100,75
25,100,85
25,100,95
30,40,55
30,40,65
30,40,75
30,40,85
30,40,95
30,60,65
30,60,75
30,60,85
30,60,95
30,80,65
30,80,75
30,80,85
30,80,95
30,100,75
30,100,85
30,100,95
35,40,55
35,40,65
35,40,75
35,40,85
35,40,95
35,60,55
35,60,65
35,60,75
35,60,85
35,60,95
35,80,65
35,80,75
35,80,85
35,80,95
35,100,75
35,100,85
35,100,95
40,40,55
40,40,65
40,40,75
40,40,85
40,40,95
40,60,55
40,60,65
40,60,75
40,60,85
40,60,95
40,80,65
40,80,75
40,80,85
40,80,95
40,100,75
40,100,85
40,100,95
45,40,55
45,40,65
45,40,75
45,40,85
45,40,95
45,60,55
45,60,65
45,60,75
45,60,85
45,60,95
45,80,65
45,80,75
45,80,85
45,80,95
45,100,75
45,100,85
45,100,95
50,40,55
50,40,65
50,40,75
50,40,85
50,40,95
50,60,65
50,60,75
50,60,85
50,60,95
50,80,75
50,80,85
50,80,95
50,100,85
50,100,95
55,40,55
55,40,65
55,40,75
55,40,85
55,40,95
55,60,65
55,60,75
55,60,85
55,60,95
55,80,75
55,80,85
55,80,95
55,100,85
55,100,95
60,40,55
60,40,65
60,40,75
60,40,85
60,40,95
60,60,65
60,60,75
60,60,85
60,60,95
60,80,75
60,80,85
60,80,95
65,40,55
65,40,65
65,40,75
65,40,85
65,40,95
65,60,65
65,60,75
65,60,85
65,60,95
65,80,75
65,80,85
65,80,95
70,40,65
70,40,75
70,40,85
70,40,95
70,60,75
70,60,85
70,60,95
70,80,85
70,80,95
75,40,65
75,40,75
75,40,85
75,40,95
75,60,75
75,60,85
75,60,95
75,80,85
75,80,95
80,40,85
80,40,95
80,60,95
85,40,95
85,60,95
SIENNA + MD BROWN,,
H,S,L
5,40,35
5,40,45
5,40,55
5,60,35
5,60,45
5,60,55
10,40,35
10,40,45
10,40,55
10,60,35
10,60,45
10,60,55
10,60,65
10,80,45
15,40,35
15,40,45
15,40,55
15,40,65
15,60,35
15,60,45
15,60,55
15,60,65
15,80,35
15,80,45
15,80,65
15,80,75
20,40,35
20,40,45
20,40,55
20,40,65
20,60,35
20,60,45
20,60,55
20,60,65
20,80,35
20,80,45
20,80,65
20,80,75
20,100,35
25,40,35
25,40,45
25,40,55
25,40,65
25,60,35
25,60,45
25,60,55
25,60,65
25,80,35
25,80,45
25,80,65
25,100,35
25,100,45
30,40,35
30,40,45
30,40,55
30,60,35
30,60,45
30,60,55
30,60,65
30,80,35
30,80,45
30,100,35
30,100,45
35,40,35
35,40,45
35,40,55
35,60,35
35,60,45
35,60,55
35,60,65
35,80,35
35,80,45
35,100,35
35,100,45
40,40,35
40,40,45
40,40,55
40,60,35
40,60,45
40,60,55
40,80,35
40,80,45
40,100,35
40,100,45
45,60,35
45,80,35
45,80,45
45,100,35
45,100,45
ESPRESSO+CHOC,,
H,S,L
5,40,25
5,40,35
5,40,45
5,60,25
5,60,35
10,40,25
10,40,35
10,40,45
10,60,25
10,60,35
10,80,25
10,100,25
15,40,25
15,40,35
15,40,45
15,60,25
15,60,35
15,80,25
15,100,25
20,40,25
20,40,35
20,40,45
20,60,25
20,60,35
20,80,25
20,100,25
25,40,25
25,40,35
25,60,25
25,60,35
25,80,25
25,80,35
25,100,25
30,40,25
30,40,35
30,60,25
30,60,35
30,80,25
30,80,35
30,100,25
35,40,25
35,40,35
35,60,25
35,60,35
35,80,25
35,80,35
35,100,25
40,40,25
40,40,35
40,60,25
40,60,35
40,80,25
40,100,25
45,60,25
45,80,25
45,100,25
50,100,25
55,100,25
355,40,25
355,40,35
355,60,25
355,60,35
355,80,25
355,100,25
360,40,25
360,40,35
360,60,25
360,60,35
360,80,25
360,100,25
WHITE+IVORY+CRM,,
H,S,L
0-360,0-20,96-97
0-360,0-60,98-98
0-360,0-100,99-100
35,60,95
35,80,95
35,100,95
40,40,95
40,60,95
40,80,95
40,100,95
45,40,95
45,60,95
45,80,95
45,100,95
50,40,95
50,60,95
50,80,95
50,100,95
55,40,95
55,60,95
55,80,95
55,100,95
60,40,95
60,60,95
60,80,95
60,100,95
65,40,95
65,60,95
65,80,95
65,100,95
70,40,95
70,60,95
70,80,95
70,100,95
75,40,95
75,60,95
75,80,95
75,100,95
80,40,95
80,60,95
80,80,95
85,40,95
85,60,95
85,80,95
90,20,95
POPPY+TOMATO,,
H,S,L
5,80,45
5,80,55
5,80,65
5,100,45
5,100,55
5,100,65
10,80,55
10,100,45
10,100,55
10,100,65
15,100,45
15,100,55
20,100,45
20,100,55
345,100,55
350,100,55
355,80,55
355,100,45
355,100,55
355,100,65
360,80,55
360,100,45
360,100,55
360,100,65
MAROON+BURGUNDY,,
H,S,L
5,80,25
5,80,35
5,80,45
5,100,25
5,100,35
10,80,25
10,80,35
10,80,45
10,100,25
10,100,35
15,100,25
15,100,35
20,100,25
325,80,25
325,80,35
325,80,45
325,100,25
325,100,35
330,80,25
330,80,35
330,80,45
330,100,25
330,100,35
335,40,35
335,40,45
335,40,55
335,60,25
335,60,35
335,60,45
335,80,25
335,80,35
335,80,45
335,100,25
335,100,35
335,100,45
340,40,35
340,40,45
340,40,55
340,60,25
340,60,35
340,60,45
340,80,25
340,80,35
340,80,45
340,100,25
340,100,35
340,100,45
345,40,25
345,40,35
345,40,45
345,40,55
345,60,25
345,60,35
345,60,45
345,60,55
345,80,25
345,80,35
345,80,45
345,80,55
345,100,25
345,100,35
345,100,45
350,40,25
350,40,35
350,40,45
350,40,55
350,60,25
350,60,35
350,60,45
350,60,55
350,80,25
350,80,35
350,80,45
350,80,55
350,100,25
350,100,35
350,100,45
355,40,25
355,40,35
355,40,45
355,40,55
355,60,25
355,60,35
355,60,45
355,60,55
355,80,25
355,80,35
355,80,45
355,80,55
355,100,25
355,100,35
355,100,45
360,40,35
360,40,45
360,60,25
360,60,35
360,60,45
360,60,55
360,80,25
360,80,35
360,80,45
360,100,25
360,100,35
BRICK+SPICE,,
H,S,L
5,40,45
5,40,55
5,40,95
5,60,35
5,60,45
5,60,55
5,60,65
5,60,95
5,80,35
5,80,45
5,80,55
5,80,65
5,80,75
5,80,95
5,100,35
5,100,45
5,100,95
10,40,45
10,40,55
10,40,95
10,60,35
10,60,45
10,60,55
10,60,65
10,60,95
10,80,35
10,80,45
10,80,55
10,80,65
10,80,95
10,100,35
10,100,45
10,100,95
15,80,35
15,80,45
15,80,95
15,100,35
15,100,45
15,100,95
20,80,35
20,80,45
20,80,95
20,100,35
20,100,45
20,100,95
305,80,85
305,80,95
310,80,85
310,100,95
315,80,85
315,100,85
320,60,85
320,80,85
320,100,85
325,60,85
325,100,85
330,60,85
335,40,85
335,60,75
335,60,85
340,80,85
345,80,85
345,100,25
345,100,35
345,100,45
350,100,25
350,100,35
350,100,45
355,60,35
355,60,45
355,60,55
355,60,65
355,80,35
355,80,45
355,80,55
355,80,65
355,100,25
355,100,35
355,100,45
355,100,85
360,40,95
360,60,35
360,60,45
360,60,55
360,60,65
360,80,35
360,80,45
360,80,55
360,80,65
360,100,25
360,100,35
360,100,45
RUST+BURNT ORG,,
H,S,L
10,60,55
10,80,55
10,80,65
10,100,65
10,100,75
15,60,55
15,60,65
15,80,35
15,80,45
15,80,55
15,80,65
15,80,75
15,100,65
15,100,75
20,60,45
20,60,55
20,60,65
20,80,35
20,80,45
20,80,55
20,80,65
20,80,75
20,100,35
20,100,45
20,100,55
20,100,65
25,60,45
25,60,55
25,80,45
25,80,55
25,80,65
25,100,35
25,100,45
25,100,55
30,80,45
30,80,55
30,80,65
30,100,35
30,100,45
30,100,55
35,80,45
35,80,55
35,80,65
35,100,35
35,100,45
35,100,55
CORAL+SALMON,,
H,S,L
5,80,65
5,80,75
5,100,75
10,80,65
10,80,75
10,100,75
15,100,75
20,100,75
20,100,85
355,100,75
355,100,85
360,100,65
360,100,75
360,100,85
PUMPKIN+TANG,,
H,S,L
10,100,65
15,80,55
15,100,65
20,80,55
20,100,55
20,100,65
20,100,75
25,80,55
25,100,55
25,100,65
25,100,75
30,80,55
30,80,65
30,100,55
30,100,65
30,100,75
35,80,55
35,100,55
35,100,65
35,100,75
40,100,55
40,100,65
45,100,55
45,100,65
AMBER+MUSTARD,,
H,S,L
35,60,55
35,80,55
35,80,65
35,100,45
35,100,55
35,100,65
35,100,75
40,60,55
40,80,55
40,80,65
40,100,45
40,100,55
40,100,65
40,100,75
45,60,55
45,80,55
45,80,65
45,100,45
45,100,55
45,100,65
45,100,75
50,80,55
50,80,65
50,100,45
50,100,55
50,100,65
50,100,75
55,80,65
55,100,55
55,100,65
55,100,75
LEMON+SUNSHINE,,
H,S,L
45,100,65
45,100,75
45,100,85
50,100,65
50,100,75
50,100,85
55,80,65
55,80,75
55,80,85
55,100,55
55,100,65
55,100,75
55,100,85
60,80,65
60,80,75
60,80,85
60,100,55
60,100,65
60,100,75
60,100,85
65,80,65
65,80,75
65,80,85
65,100,55
65,100,65
65,100,75
65,100,85
65,100,95
70,100,85
70,100,95
